"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.293211667E-1,3.757186890E-2,1.488504639E0,8.426726532E0,8.557264618E0
6.392921667E-1,-6.890171814E-1,8.809181213E-1,8.302035828E0,8.377025743E0
6.492641667E-1,-1.162033539E0,6.499484253E-1,8.020321655E0,8.130086983E0
6.592351667E-1,-1.576970673E0,5.903723145E-1,7.941585388E0,8.118137376E0
6.692061667E-1,-1.718276825E0,6.447093201E-1,8.020621033E0,8.227909036E0
6.791781667E-1,-1.252445526E0,9.253756714E-1,8.596623230E0,8.736525104E0
6.891491667E-1,-8.454418945E-1,1.193617859E0,9.331445160E0,9.445388524E0
6.991201667E-1,-7.952961731E-1,1.342258759E0,9.783654785E0,9.907272861E0
7.090921667E-1,-9.541159058E-1,1.286873932E0,1.006297394E1,1.018969215E1
7.190631667E-1,-9.045689392E-1,1.394051056E0,9.780511322E0,9.920686722E0
7.290341667E-1,-6.364764404E-1,1.434916077E0,9.182205505E0,9.315416488E0
7.390061667E-1,-7.159611511E-1,9.807604980E-1,8.994196472E0,9.075795376E0
7.489771667E-1,-1.536704407E0,2.383044434E-1,8.707841949E0,8.845606868E0
7.589481667E-1,-1.847458191E0,1.103205872E-1,8.139922943E0,8.347671407E0
7.689201667E-1,-1.597478027E0,3.071612549E-1,7.688461761E0,7.858672174E0
7.788911667E-1,-8.312214661E-1,3.522175598E-1,7.494315491E0,7.548493294E0
7.888621667E-1,3.977229309E-1,3.683839417E-1,7.504494324E0,7.524049795E0
7.988341667E-1,1.378633118E0,4.806504822E-1,7.655230865E0,7.793215881E0
8.088051667E-1,2.030228119E0,5.406756592E-1,7.893834686E0,8.168646304E0
8.187771667E-1,2.618804169E0,7.328759766E-1,8.568631439E0,8.989810188E0
8.287481667E-1,2.984044647E0,6.140231323E-1,8.943152618E0,9.447831795E0
8.387191667E-1,3.467239838E0,-7.514373779E-2,9.163644104E0,9.797947333E0
8.486907083E-1,3.719914398E0,-7.993377686E-1,9.048383789E0,9.815801200E0
8.586617083E-1,3.683540039E0,-1.387464752E0,8.466244354E0,9.336531429E0
8.686327083E-1,3.700604553E0,-2.153871002E0,7.695197754E0,8.806230909E0
8.786047083E-1,3.873045959E0,-2.704126740E0,7.758516083E0,9.083356111E0
8.885757083E-1,4.142934723E0,-2.728076935E0,9.054371338E0,1.032414414E1
8.985467083E-1,4.065246277E0,-2.545606384E0,1.042372375E1,1.147433467E1
9.085187083E-1,4.095333710E0,-2.623743896E0,1.153067184E1,1.251447895E1
9.184897083E-1,4.353995819E0,-2.755170593E0,1.226010498E1,1.329881268E1
9.284607083E-1,4.437372437E0,-2.822530518E0,1.182391205E1,1.294070511E1
9.384327083E-1,4.411326599E0,-2.860701141E0,1.106454117E1,1.225020345E1
9.484037083E-1,4.415966949E0,-2.776725769E0,9.955048370E0,1.123894827E1
9.583747083E-1,4.517755280E0,-2.663261719E0,8.620872803E0,1.009071472E1
9.683467083E-1,4.415218506E0,-2.250120850E0,7.821235657E0,9.258991602E0
9.783177083E-1,4.403243408E0,-2.337988129E0,8.471633148E0,9.829715621E0
9.882887083E-1,4.809947662E0,-3.070714417E0,1.149399811E1,1.283264883E1
9.982607083E-1,5.134323120E0,-3.203338623E0,1.387824005E1,1.514028399E1
1.008231708E0,5.041067047E0,-3.597319336E0,1.474628494E1,1.599393582E1
1.018202708E0,5.500761108E0,-3.577859802E0,1.354922424E1,1.505459834E1
1.028174708E0,6.203549652E0,-2.786904602E0,1.213002548E1,1.390641520E1
1.038145708E0,7.170688477E0,-2.463427277E0,1.024724075E1,1.274728168E1
1.048116708E0,8.327183533E0,-2.925965424E0,9.009315033E0,1.261233589E1
1.058088708E0,9.472601624E0,-2.676134949E0,8.223898315E0,1.282670586E1
1.068059708E0,9.659263458E0,-2.426454163E0,7.330106964E0,1.236606318E1
1.078030708E0,8.954828339E0,-2.913541260E0,6.627468109E0,1.151525105E1
1.088002708E0,7.817643127E0,-3.164269867E0,6.376589813E0,1.057303388E1
1.097973708E0,6.577921143E0,-3.477119293E0,6.329288177E0,9.768279990E0
1.107944708E0,4.931644592E0,-4.370461578E0,6.589896240E0,9.319269566E0
1.117916708E0,3.444636841E0,-4.724026337E0,7.007378082E0,9.126077766E0
1.127887708E0,2.508483582E0,-4.539460144E0,7.190148010E0,8.865518411E0
1.137858708E0,2.130818939E0,-4.509223022E0,7.230264587E0,8.783519091E0
1.147830708E0,2.702180786E0,-4.698878632E0,7.608527985E0,9.341891644E0
1.157801708E0,3.650458832E0,-4.919968872E0,8.070467377E0,1.013234361E1
1.167772708E0,4.212989044E0,-4.919968872E0,7.733967133E0,1.008809288E1
1.177744708E0,4.423900452E0,-4.625980225E0,7.123686218E0,9.576925059E0
1.187715708E0,4.771926727E0,-3.814817047E0,7.317533112E0,9.532596951E0
1.197686708E0,3.990551605E0,-4.705614624E0,5.881718903E0,8.524196640E0
1.207658708E0,3.431314545E0,-5.087919617E0,5.896388397E0,8.510478345E0
1.217629708E0,3.455264740E0,-4.357139282E0,5.848637695E0,8.070320938E0
1.227600708E0,3.443439331E0,-3.962110748E0,5.555397491E0,7.643169323E0
1.237572708E0,3.209775238E0,-3.827241211E0,6.082601166E0,7.870734992E0
1.247543708E0,3.298540649E0,-3.278931427E0,6.633904724E0,8.101879634E0
1.257514708E0,2.897524567E0,-3.951183472E0,6.443500671E0,8.094825529E0
1.267486708E0,2.934048615E0,-3.807332611E0,7.721842346E0,9.095673263E0
1.277457708E0,3.159330139E0,-3.041974182E0,8.046367493E0,9.164005875E0
1.287428708E0,3.079546051E0,-3.119962006E0,8.238717499E0,9.332429095E0
1.297400708E0,2.952011261E0,-3.466491394E0,8.851393433E0,9.953798208E0
1.307371708E0,2.856958923E0,-3.292702789E0,9.273515625E0,1.024705802E1
1.317342708E0,2.863545227E0,-2.980003052E0,9.096882935E0,9.991675965E0
