"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.280064167E-1,-1.212478638E-2,2.085163879E-1,1.071112610E1,1.071316239E1
6.379774167E-1,2.329156494E-1,-3.767665100E-1,1.316407516E1,1.317152526E1
6.479486667E-1,9.722282410E-1,-9.825567627E-1,1.262100449E1,1.269647194E1
6.579206667E-1,7.117698669E-1,-1.271905060E0,1.216699860E1,1.225398766E1
6.678916667E-1,7.399113464E-1,-1.213975525E0,1.385039795E1,1.392317237E1
6.778626667E-1,1.716181183E0,-5.533992004E-1,1.631053207E1,1.640990509E1
6.878346667E-1,2.210303650E0,1.342707825E-1,1.838581650E1,1.851868568E1
6.978056667E-1,2.110012207E0,-1.035845947E-1,2.044508423E1,2.055393759E1
7.077766667E-1,1.992805939E0,-9.160949707E-1,2.228281265E1,2.239049453E1
7.177486667E-1,2.287992096E0,-1.614991608E0,2.356938721E1,2.373518736E1
7.277196667E-1,2.828967133E0,-1.794318695E0,2.398851562E1,2.422130295E1
7.376906667E-1,3.006947021E0,-1.344055023E0,2.297781738E1,2.321267555E1
7.476616667E-1,3.016078033E0,-4.111949158E-1,2.086121887E1,2.108213132E1
7.576336667E-1,3.228636017E0,3.582051086E-1,1.929412766E1,1.956567820E1
7.676046667E-1,3.667673035E0,1.220561829E0,1.836905136E1,1.877135170E1
7.775756667E-1,4.333937531E0,1.692380676E0,1.736329285E1,1.797584783E1
7.875476667E-1,4.874014435E0,2.196232910E0,1.620799530E1,1.706688511E1
7.975186667E-1,5.381608887E0,2.813100128E0,1.531854492E1,1.647826038E1
8.074896667E-1,5.754483490E0,3.056793365E0,1.461800171E1,1.600450061E1
8.174616667E-1,5.796396332E0,2.722239075E0,1.414169220E1,1.552405405E1
8.274326667E-1,5.112767944E0,1.883233795E0,1.362616425E1,1.467512581E1
8.374036667E-1,3.715124359E0,6.264472961E-1,1.341974350E1,1.393858317E1
8.473746667E-1,2.252366180E0,-7.149133301E-1,1.312844925E1,1.333943155E1
8.573466667E-1,1.044378204E0,-1.534608765E0,1.206012085E1,1.220214181E1
8.673176667E-1,-1.627116394E-1,-1.647174683E0,1.011446686E1,1.024900480E1
8.772886667E-1,-1.407523041E0,-1.391955414E0,7.613467712E0,7.866609917E0
8.872606667E-1,-2.258503418E0,-7.455995178E-1,5.299579468E0,5.808812173E0
8.972316667E-1,-2.228715363E0,1.877096558E-1,3.820654907E0,4.427167379E0
9.072026667E-1,-2.086211700E0,7.696994019E-1,2.953208771E0,3.696776768E0
9.171746667E-1,-1.947899323E0,1.075812836E0,2.047292633E0,3.023754645E0
9.271456667E-1,-1.655407562E0,1.289568329E0,1.858535156E0,2.803125684E0
9.371166667E-1,-1.361867981E0,1.424288177E0,1.705553284E0,2.606183649E0
9.470876667E-1,-1.341210938E0,1.475032654E0,1.063388672E0,2.259505162E0
9.570596667E-1,-1.243164825E0,1.213376770E0,2.395019531E-1,1.753597204E0
9.670306667E-1,-1.228495331E0,8.851094055E-1,-3.664379883E-1,1.557849876E0
9.770016667E-1,-1.077010345E0,6.486012268E-1,-8.737330627E-1,1.531027204E0
9.869736667E-1,-6.879693604E-1,6.807843018E-1,-1.894011383E0,2.126981012E0
9.969446667E-1,-4.927752686E-1,7.286846924E-1,-2.925815735E0,3.055193375E0
1.006915667E0,-5.074447632E-2,9.289682007E-1,-3.732637939E0,3.846835441E0
1.016887667E0,8.184979248E-1,1.944007416E0,-3.550466766E0,4.129760035E0
1.026858667E0,6.976991272E-1,2.418969727E0,-3.173700256E0,4.050996412E0
1.036829667E0,2.827619934E-1,1.955533447E0,-2.152673492E0,2.921997360E0
1.046800667E0,2.264790344E-1,1.527872772E0,-1.037642212E0,1.860749666E0
1.056772667E0,3.128494263E-1,1.277144165E0,2.862048340E-1,1.345691342E0
1.066743667E0,1.496887207E-1,7.566764832E-1,1.555415497E0,1.736169168E0
1.076714667E0,-6.210585022E-1,2.430944824E-1,2.389630737E0,2.480956197E0
1.086686667E0,-9.804611206E-1,-2.435435486E-1,2.813100128E0,2.989004818E0
1.096657667E0,-7.164102173E-1,-6.095324707E-1,2.721490631E0,2.879459096E0
1.106628667E0,-6.406677246E-2,-5.111869812E-1,2.868784332E0,2.914676693E0
1.116600667E0,3.552113342E-1,-3.466790771E-1,3.783232727E0,3.815653462E0
1.126571667E0,6.535409546E-1,8.681945801E-2,5.383704529E0,5.423921815E0
1.136542667E0,1.053958282E0,-1.510359192E-1,8.299191742E0,8.367211213E0
1.146513667E0,1.273102570E0,-1.256337433E0,1.237731125E1,1.250587892E1
1.156485667E0,1.633852386E0,-2.698887634E0,1.654254959E1,1.684070708E1
1.166456667E0,2.692151642E0,-3.626957703E0,2.084864502E1,2.133233465E1
1.176427667E0,3.196602631E0,-3.546574860E0,2.361953293E1,2.409727780E1
1.186399667E0,2.864593048E0,-1.563199310E0,2.412353485E1,2.434326229E1
1.196370667E0,3.551364899E0,1.713337097E0,2.617516846E1,2.647049604E1
1.206341667E0,5.814508667E0,2.679577789E0,3.325858841E1,3.386919472E1
1.216312667E0,7.410489807E0,1.719923401E0,3.881578217E1,3.955424681E1
1.226284667E0,8.201295319E0,1.187779999E0,4.013199509E1,4.097864195E1
1.236255667E0,9.031918030E0,1.600471802E0,3.935585907E1,4.041065078E1
1.246226667E0,9.765093384E0,2.255958710E0,3.678241058E1,3.812338032E1
1.256198667E0,9.491761780E0,2.899620209E0,3.331277573E1,3.475978086E1
1.266169667E0,8.263116760E0,3.227139130E0,2.947251160E1,3.077860402E1
1.276140667E0,6.604715424E0,2.930156708E0,2.564826416E1,2.664660464E1
1.286112667E0,4.846621399E0,1.992207184E0,2.208821732E1,2.270127689E1
1.296083667E0,3.224295044E0,9.641450500E-1,1.821936264E1,1.852756944E1
1.306054667E0,1.834734650E0,1.375639343E-1,1.442280762E1,1.453968895E1
1.316025667E0,7.620652771E-1,-2.499801636E-1,1.130943192E1,1.133783418E1
1.325997667E0,-3.757186890E-2,-1.990859985E-1,8.659342804E0,8.661712572E0
1.335968667E0,-7.997868347E-1,-2.179467773E-1,6.119873657E0,6.175760144E0
1.345939667E0,-1.730551300E0,-4.718188477E-1,3.340004425E0,3.791180606E0
