"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681432171315769E9,"2023-04-13 20:29:31.316 UTC-04:00"
"PAUSE",2.240655925000028E2,1.681432395378613E9,"2023-04-13 20:33:15.379 UTC-04:00"
"START",2.240655925000028E2,1.681432401024067E9,"2023-04-13 20:33:21.024 UTC-04:00"
"PAUSE",3.273555584166679E2,1.681432504312775E9,"2023-04-13 20:35:04.313 UTC-04:00"
