"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.681417050126962E9,"2023-04-13 16:17:30.127 UTC-04:00"
"PAUSE",6.692924204166775E1,1.681417117056489E9,"2023-04-13 16:18:37.056 UTC-04:00"
"START",6.692924204166775E1,1.681417145008902E9,"2023-04-13 16:19:05.009 UTC-04:00"
"PAUSE",1.292356205833348E2,1.681417207315509E9,"2023-04-13 16:20:07.316 UTC-04:00"
"START",1.292356205833348E2,1.681417209398701E9,"2023-04-13 16:20:09.399 UTC-04:00"
"PAUSE",2.246691362083293E2,1.681417304832587E9,"2023-04-13 16:21:44.833 UTC-04:00"
"START",2.246691362083293E2,1.681417310235440E9,"2023-04-13 16:21:50.235 UTC-04:00"
"PAUSE",2.861547754583298E2,1.681417371721297E9,"2023-04-13 16:22:51.721 UTC-04:00"
