"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.626767083E-1,1.390383682E1,3.016826477E0,1.871782608E1,2.351116615E1
6.726447083E-1,1.378064301E1,3.035537567E0,1.653386765E1,2.173682105E1
6.826137083E-1,1.354323669E1,2.966531067E0,1.453612198E1,2.008776764E1
6.925817083E-1,1.264660126E1,2.944975891E0,1.269330414E1,1.815845192E1
7.025497083E-1,1.149190247E1,2.966082001E0,1.100960541E1,1.618866505E1
7.125177083E-1,1.019170624E1,2.537822571E0,9.700278168E0,1.429709117E1
7.224867083E-1,9.651329956E0,1.665436707E0,9.340725861E0,1.353406846E1
7.324547083E-1,9.351802826E0,1.229842529E0,1.073507629E1,1.429022714E1
7.424227083E-1,7.703730011E0,6.020480347E-1,1.196446976E1,1.424283871E1
7.523917083E-1,5.805227966E0,9.355545044E-2,1.189351730E1,1.323499823E1
7.623597083E-1,3.783382416E0,3.221301270E-1,1.004321503E1,1.073703490E1
7.723277083E-1,2.578388214E0,8.981323242E-1,6.763684845E0,7.293981090E0
7.822967083E-1,1.991309052E0,1.085392914E0,4.558620300E0,5.091601767E0
7.922647083E-1,8.065228271E-1,7.906558228E-1,2.572550354E0,2.809560646E0
8.022327083E-1,-2.290237427E-1,6.044430542E-1,9.105564880E-1,1.116654109E0
8.122007083E-1,-1.109941864E0,2.101629639E-1,2.844085693E-3,1.129666987E0
8.221697083E-1,-1.703008575E0,-5.516029358E-1,-7.934999084E-1,1.958097575E0
8.321377083E-1,-2.397115173E0,-7.373666382E-1,-1.218166809E0,2.788153706E0
8.421057083E-1,-2.420316925E0,-6.753955078E-1,-1.768123169E0,3.072515688E0
8.520747083E-1,-1.966161346E0,-5.520520020E-1,-2.002086639E0,2.859878103E0
8.620427083E-1,-1.156944122E0,3.141966248E-1,-2.295775909E0,2.589947151E0
8.720107083E-1,-2.893482971E-1,9.145980835E-1,-2.886297913E0,3.041533779E0
8.819787083E-1,-3.727249146E-2,9.006770325E-1,-3.392994232E0,3.510700531E0
8.919477083E-1,1.407073975E-2,9.443861389E-1,-3.472928009E0,3.599068230E0
9.019157083E-1,6.227050781E-2,8.693920898E-1,-3.366199951E0,3.477214738E0
9.118837083E-1,3.905378723E-1,9.048683167E-1,-2.392025757E0,2.587101413E0
9.218527083E-1,9.779164124E-1,5.161267090E-1,-1.510359192E-1,1.116028287E0
9.318207083E-1,1.123862915E0,-2.465373230E-1,1.934876404E0,2.251131982E0
9.417887083E-1,1.281784515E0,-5.156776428E-1,3.740122375E0,3.987155673E0
9.517567083E-1,1.430724792E0,-2.028282166E-1,5.156477051E0,5.355125423E0
9.617257083E-1,1.740430756E0,3.080593872E-1,5.737418976E0,6.003497006E0
9.716937083E-1,2.578088837E0,1.009351044E0,6.338269501E0,6.916573707E0
9.816617083E-1,3.279979248E0,1.578766937E0,8.289461975E0,9.053504777E0
9.916307083E-1,4.838987274E0,1.781595154E0,1.112471603E1,1.226169588E1
1.001598708E0,7.311395874E0,1.955982513E0,1.432865341E1,1.620471184E1
1.011566708E0,8.948391724E0,1.310375061E0,1.675136536E1,1.903678120E1
1.021535708E0,1.051772827E1,1.311273193E-1,1.704774902E1,2.003161374E1
1.031503708E0,1.280197815E1,-8.099656677E-1,1.661634613E1,2.099165662E1
1.041471708E0,1.397838181E1,-9.833052063E-1,1.725102631E1,2.222520991E1
1.051439708E0,1.472188568E1,1.547781372E-1,1.839749222E1,2.356322546E1
1.061408708E0,1.555490341E1,2.192790070E0,2.087963058E1,2.612895562E1
1.071376708E0,1.625873978E1,3.303181000E0,2.515923111E1,3.013709564E1
1.081344708E0,1.736478973E1,3.698059845E0,2.963507355E1,3.454633343E1
1.091313708E0,1.792402679E1,2.949616241E0,3.079186798E1,3.575066582E1
1.101281708E0,1.669627991E1,1.454974365E0,2.804208618E1,3.266865945E1
1.111249708E0,1.468012253E1,5.920188904E-1,2.343002701E1,2.765542712E1
1.121217708E0,1.242072098E1,1.454974365E-1,1.953961716E1,2.315366316E1
1.131186708E0,9.716294861E0,-5.538482666E-3,1.680734894E1,1.941374242E1
