"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.379437083E-1,-5.305567017E0,-4.756808167E0,1.403331757E0,7.262616975E0
6.479117083E-1,-5.962999878E0,-4.537813568E0,1.474284210E0,7.636925655E0
6.578797083E-1,-7.375462646E0,-4.752167816E0,1.330283661E0,8.874131102E0
6.678487083E-1,-9.264085236E0,-5.201683044E0,1.021176453E0,1.067349910E1
6.778167083E-1,-1.191851532E1,-5.845643921E0,6.114784241E-1,1.328896031E1
6.877847083E-1,-1.658012146E1,-7.630681915E0,8.024812317E-1,1.826942009E1
6.977527083E-1,-2.375036087E1,-1.035411850E1,2.718347168E0,2.605142650E1
7.077217083E-1,-3.186857895E1,-1.190219925E1,7.026687927E0,3.473676747E1
7.176897083E-1,-3.951602600E1,-1.159384048E1,1.230770599E1,4.298154342E1
7.276577083E-1,-4.616400146E1,-1.012045441E1,1.687860077E1,5.018391966E1
7.376257083E-1,-5.021008759E1,-8.838520203E0,1.899355270E1,5.440521463E1
7.475947083E-1,-5.019901062E1,-8.084837494E0,1.766656219E1,5.382762009E1
7.575627083E-1,-4.592704422E1,-7.742948456E0,1.422327255E1,4.869854334E1
7.675307083E-1,-3.946977219E1,-7.603438568E0,1.030382309E1,4.149510772E1
7.774987083E-1,-3.328807709E1,-7.270680542E0,6.845714264E0,3.475374333E1
7.874677083E-1,-2.869353149E1,-6.679260406E0,4.810097351E0,2.985076725E1
7.974357083E-1,-2.557431793E1,-5.683830414E0,4.194727020E0,2.653200710E1
8.074037083E-1,-2.320220078E1,-4.460574188E0,5.035528564E0,2.415771907E1
8.173727083E-1,-2.153736282E1,-3.603905640E0,6.837780762E0,2.288233771E1
8.273407083E-1,-2.040856018E1,-2.918181610E0,8.829987946E0,2.242752326E1
8.373087083E-1,-1.895538208E1,-2.035616913E0,1.003752686E1,2.154535197E1
8.472767083E-1,-1.671454193E1,-5.023553467E-1,9.586664429E0,1.927517595E1
8.572457083E-1,-1.429901505E1,7.972421265E-1,7.757617950E0,1.628735898E1
8.672137083E-1,-1.225860809E1,1.305285645E0,5.536985779E0,1.351426855E1
8.771817083E-1,-9.967173157E0,1.510059814E0,3.599265289E0,1.070418292E1
8.871497083E-1,-7.449408875E0,1.619033203E0,2.025737457E0,7.887875084E0
8.971187083E-1,-4.875062256E0,1.604513397E0,6.421646118E-1,5.172337057E0
9.070867083E-1,-2.369572449E0,1.541494446E0,-6.369255066E-1,2.897715103E0
9.170547083E-1,-2.465373230E-1,1.543739777E0,-1.661095734E0,2.281041908E0
9.270227083E-1,1.466350708E0,1.492695923E0,-2.414479065E0,3.195001514E0
9.369917083E-1,2.690205688E0,1.548679504E0,-2.696791992E0,4.111970562E0
9.469597083E-1,3.547772369E0,1.698368225E0,-2.566113739E0,4.696390437E0
9.569277083E-1,4.237687683E0,1.947001190E0,-2.142644348E0,5.132225184E0
9.668957083E-1,4.577780457E0,2.137554932E0,-1.609303436E0,5.302364807E0
9.768647083E-1,4.478686523E0,2.173031158E0,-1.067879333E0,5.091273285E0
9.868327083E-1,4.103865967E0,2.099833374E0,-5.209167480E-1,4.639220875E0
9.968007083E-1,3.662733307E0,2.146835632E0,-9.235794067E-2,4.246533704E0
1.006768708E0,3.299588470E0,2.311493225E0,2.586621094E-1,4.036977965E0
1.016737708E0,2.944377136E0,2.433788910E0,5.269042969E-1,3.856204522E0
1.026705708E0,2.603984985E0,2.493514709E0,7.355703735E-1,3.679594704E0
1.036673708E0,2.260299683E0,2.509830780E0,9.180409241E-1,3.500143474E0
1.046642708E0,1.907483368E0,2.500400391E0,1.019380188E0,3.305999226E0
1.056610708E0,1.570084991E0,2.443967743E0,1.088536377E0,3.102105197E0
1.066578708E0,1.187779999E0,2.317480774E0,1.159189453E0,2.850483933E0
1.076546708E0,8.526269531E-1,2.190993805E0,1.261576538E0,2.668145786E0
1.086515708E0,6.286926270E-1,2.079625397E0,1.478475494E0,2.627924275E0
1.096483708E0,5.032534790E-1,2.062710571E0,1.756746826E0,2.755757314E0
1.106451708E0,4.248165894E-1,2.140997772E0,2.028581543E0,2.979846250E0
1.116419708E0,2.392025757E-1,2.243384857E0,2.253114624E0,3.188497922E0
1.126388708E0,-5.822891235E-2,2.367027740E0,2.329755249E0,3.321742081E0
1.136356708E0,-4.105961609E-1,2.515818329E0,2.284549255E0,3.423024448E0
1.146324708E0,-1.044228516E0,2.655477905E0,2.008822632E0,3.489605202E0
1.156292708E0,-1.888023834E0,2.848726044E0,1.411115570E0,3.697447934E0
