"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.545377083E-1,-3.592529297E-2,1.686243439E0,6.760691071E0,6.967901500E0
6.645077083E-1,-3.146456909E-1,1.912273407E0,6.636898499E0,6.914059095E0
6.744787083E-1,-2.384241943E0,3.332969055E0,7.024292908E0,8.132280321E0
6.844487083E-1,-4.196373596E0,4.012705536E0,8.269104309E0,1.010393206E1
6.944187083E-1,-4.099524994E0,4.104913788E0,9.279952240E0,1.094412792E1
7.043897083E-1,-4.116888885E0,3.631747742E0,8.979077911E0,1.052436249E1
7.143597083E-1,-4.300407257E0,2.999911652E0,8.171058197E0,9.708715907E0
7.243297083E-1,-3.127596130E0,3.038531342E0,7.582182770E0,8.746657980E0
7.343007083E-1,-1.701062622E0,3.406765594E0,7.120243378E0,8.074498846E0
7.442707083E-1,-1.326691132E0,3.374732208E0,7.109914856E0,7.981216455E0
7.542407083E-1,-4.381388855E-1,3.530109100E0,7.216044159E0,8.045180498E0
7.642117083E-1,3.062631226E-1,3.821403351E0,8.720415802E0,9.525889587E0
7.741817083E-1,-2.345771942E0,3.272195435E0,8.926686859E0,9.792632294E0
7.841517083E-1,-4.659360809E0,2.821033630E0,7.995772705E0,9.674722479E0
7.941227083E-1,-4.125870209E0,2.893183594E0,7.597750397E0,9.116969199E0
8.040927083E-1,-3.348985748E0,3.351979523E0,7.051985321E0,8.495997248E0
8.140627083E-1,-2.795436859E0,3.552562408E0,6.483018494E0,7.903460994E0
8.240337083E-1,-2.490670624E0,3.380570068E0,5.698050842E0,7.078098441E0
8.340037083E-1,-1.833537140E0,2.969973907E0,4.967120819E0,6.070823065E0
8.439737083E-1,-1.004710693E0,2.468067627E0,4.644990692E0,5.355066752E0
8.539447083E-1,-8.526269531E-1,2.113155670E0,5.055586853E0,5.545390702E0
8.639147083E-1,-1.062789917E0,1.946552124E0,5.884862366E0,6.288894390E0
8.738857083E-1,-1.551822968E0,1.434167633E0,6.653064880E0,6.980563274E0
8.838557083E-1,-1.874551849E0,-8.008346558E-2,6.753955078E0,7.009726613E0
8.938257083E-1,-2.696941681E0,-2.609074402E-1,6.926995239E0,7.438066292E0
9.037967083E-1,-2.714155884E0,2.297721863E-1,9.724677429E0,1.009894987E1
9.137667083E-1,-2.936443634E0,9.087602234E-1,7.695048065E0,8.286272448E0
9.237367083E-1,-3.723955994E0,-4.760101318E-2,6.825206909E0,7.775188966E0
9.337077083E-1,-4.176315308E0,-8.454418945E-1,6.613846436E0,7.867613756E0
9.436777083E-1,-4.053121490E0,-1.402583313E0,6.981631622E0,8.193791178E0
9.536477083E-1,-2.882855072E0,-1.654958496E0,8.547525330E0,9.171146616E0
9.636187083E-1,-2.811453552E0,-1.922901306E0,9.001381531E0,9.624276075E0
9.735887083E-1,-3.774401093E0,-2.236349487E0,9.250164185E0,1.023781715E1
9.835587083E-1,-4.483626251E0,-2.736160126E0,9.600735168E0,1.094365535E1
9.935297083E-1,-4.478686523E0,-3.386557617E0,9.380093994E0,1.093222616E1
1.003499708E0,-4.244573364E0,-3.369193726E0,7.871381378E0,9.556490685E0
1.013469708E0,-3.829037476E0,-3.191064148E0,6.211632843E0,7.964220047E0
1.023440708E0,-3.908971252E0,-3.486399994E0,4.535867615E0,6.928862547E0
1.033410708E0,-4.262685699E0,-4.212390289E0,3.216062164E0,6.801307019E0
1.043380708E0,-4.891977081E0,-4.916825409E0,2.675236816E0,7.433942688E0
1.053351708E0,-5.711223450E0,-5.405259705E0,2.926863556E0,8.390556361E0
1.063321708E0,-6.713239746E0,-5.685476990E0,3.642525330E0,9.521566429E0
1.073291708E0,-7.992329865E0,-5.973777466E0,4.364923096E0,1.089109304E1
1.083262708E0,-9.300758972E0,-6.239624634E0,4.783752136E0,1.217872397E1
1.093232708E0,-1.052805679E1,-5.971382446E0,4.978347473E0,1.308744940E1
1.103202708E0,-1.153516251E1,-5.494025116E0,5.046156464E0,1.373710235E1
1.113173708E0,-1.228525269E1,-5.352868652E0,4.502037964E0,1.413679533E1
1.123143708E0,-1.299627411E1,-5.694158936E0,3.623365173E0,1.464429452E1
1.133114708E0,-1.338127350E1,-6.240822144E0,2.921923828E0,1.505137802E1
1.143084708E0,-1.337678284E1,-6.809489594E0,2.543810120E0,1.522427133E1
1.153054708E0,-1.323502762E1,-7.475604401E0,2.555336151E0,1.541364201E1
1.163025708E0,-1.287487656E1,-7.870183868E0,3.034789124E0,1.539195197E1
1.172995708E0,-1.268462219E1,-7.916138306E0,3.627706146E0,1.538587462E1
1.182965708E0,-1.268641846E1,-8.004903717E0,3.992497559E0,1.552300659E1
1.192936708E0,-1.271081772E1,-8.167315979E0,4.075574799E0,1.564865002E1
1.202906708E0,-1.289957520E1,-8.151748352E0,4.165088654E0,1.581764853E1
