"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.586072083E-1,-6.473588104E0,-1.625769196E0,7.585625610E0,1.010406771E1
6.686822083E-1,-7.232958984E0,-1.823208618E-1,6.870263214E0,9.977447228E0
6.787582083E-1,-7.511230316E0,4.697232056E-1,4.688250732E0,8.866730834E0
6.888332083E-1,-7.188950500E0,1.444047089E0,1.996997223E0,7.599623622E0
6.989092084E-1,-7.119794312E0,1.453776855E0,1.020877075E0,7.338060247E0
7.089842084E-1,-5.902525635E0,9.562115479E-1,1.054856415E0,6.071809570E0
7.190592083E-1,-4.734953613E0,-2.832110596E-1,2.697390747E0,5.456730804E0
7.291352084E-1,-5.533393250E0,-2.479443970E0,2.261497192E0,6.471510859E0
7.392102084E-1,-6.251599731E0,-4.190685425E0,2.196831665E0,7.840306939E0
7.492862084E-1,-7.490722961E0,-4.886588287E0,2.590363312E0,9.311265095E0
7.593612084E-1,-1.153845566E1,-5.113217010E0,3.565136261E0,1.311453940E1
7.694372084E-1,-1.603974518E1,-5.654192047E0,4.985083466E0,1.772270776E1
7.795122084E-1,-1.936268509E1,-7.703430634E0,5.940995636E0,2.166914503E1
7.895872084E-1,-2.084026245E1,-1.185085602E1,7.139553223E0,2.501464666E1
7.996632084E-1,-2.028536636E1,-1.606234818E1,7.242988129E0,2.686923881E1
8.097382084E-1,-1.875195511E1,-1.733350479E1,7.735314331E0,2.668185332E1
8.198142084E-1,-1.682456314E1,-1.416279831E1,9.430838470E0,2.392888412E1
8.298892084E-1,-1.759605881E1,-9.951006775E0,7.408693542E0,2.152980635E1
8.399652084E-1,-1.826382019E1,-8.047115936E0,4.500541077E0,2.045918065E1
8.500402084E-1,-1.691901672E1,-8.971144409E0,6.535110168E0,2.023467874E1
8.601152084E-1,-1.528606247E1,-9.896220703E0,8.131540375E0,1.994293958E1
8.701912084E-1,-1.418106033E1,-9.904752960E0,6.067332916E0,1.833082464E1
8.802662084E-1,-1.347527802E1,-9.706116028E0,5.124593353E0,1.737967960E1
8.903422084E-1,-1.313069458E1,-9.965077515E0,5.368585968E0,1.733607872E1
9.004172084E-1,-1.250694168E1,-9.678872681E0,6.012397156E0,1.691901552E1
9.104932084E-1,-1.166868484E1,-8.588839417E0,6.582411804E0,1.591397228E1
9.205682084E-1,-1.074091415E1,-7.481442261E0,6.173312531E0,1.447235305E1
9.306442083E-1,-9.526190186E0,-6.419550476E0,4.455634460E0,1.232118526E1
9.407192084E-1,-8.457263031E0,-5.114713898E0,2.337239685E0,1.015619444E1
9.507942084E-1,-7.780670013E0,-3.473377075E0,9.788145447E-1,8.576785649E0
9.608702083E-1,-7.100783844E0,-1.948647766E0,7.533833313E-1,7.401752884E0
9.709452083E-1,-6.561156006E0,-8.214916992E-1,9.919871521E-1,6.686378336E0
9.810212083E-1,-5.779032440E0,-8.023315430E-2,9.906399536E-1,5.863874216E0
9.910962083E-1,-5.021906891E0,1.152603149E-2,8.988807678E-1,5.101731893E0
1.001172208E0,-4.570745087E0,-1.348695374E-1,1.701960754E0,4.879197767E0
1.011247208E0,-3.741619263E0,1.631607056E-2,2.501298523E0,4.500719412E0
1.021322208E0,-3.097808075E0,1.179547119E-1,2.552941132E0,4.015947784E0
1.031398208E0,-2.576741638E0,-1.047821045E-2,2.462678833E0,3.564336446E0
1.041473208E0,-1.551972656E0,-1.426533508E-1,1.597328339E0,2.231687013E0
1.051549208E0,-7.682025146E-1,-5.602848816E-1,-1.002914429E-2,9.508705673E-1
1.061624208E0,-2.851570129E-1,-7.119195557E-1,-1.548978882E0,1.728432687E0
1.071700208E0,-1.556762695E-2,-6.753955078E-1,-3.049159241E0,3.123103187E0
1.081775208E0,-4.008663940E-1,-5.363346863E-1,-4.390669556E0,4.441433092E0
1.091850208E0,-1.100511475E0,-1.974394226E-1,-4.646936646E0,4.779553119E0
1.101926208E0,-1.329086151E0,-1.546284485E-1,-3.908372498E0,4.131071959E0
1.112001208E0,-1.710493011E0,-4.328997803E-1,-2.773133240E0,3.286861197E0
1.122077208E0,-1.972897339E0,-6.325845337E-1,-1.819167023E0,2.757146307E0
1.132152208E0,-1.953437805E0,-7.376660156E-1,-1.032253418E0,2.329295500E0
1.142228208E0,-1.764231262E0,-9.336085510E-1,-3.716770935E-1,2.030340054E0
1.152303208E0,-1.356628876E0,-1.181792450E0,-1.459465027E-1,1.805097139E0
1.162378208E0,-1.364263000E0,-1.467099152E0,-2.859054565E-1,2.023693501E0
1.172454208E0,-1.645079041E0,-1.644480286E0,-3.200344849E-1,2.347982651E0
1.182529208E0,-2.032174072E0,-1.407223663E0,-4.351451111E-1,2.509852818E0
1.192605208E0,-2.616409149E0,-1.017434235E0,-5.878276062E-1,2.868154555E0
1.202680208E0,-3.276985474E0,-7.797285461E-1,-5.037025452E-1,3.405925227E0
1.212756208E0,-3.829037476E0,-8.143066406E-1,-3.092568970E-1,3.926864286E0
1.222831208E0,-3.956871643E0,-1.113085327E0,-2.077679443E-1,4.115696741E0
1.232906208E0,-3.608096924E0,-1.549877014E0,-4.682263184E-1,3.954708340E0
1.242982208E0,-3.279081116E0,-2.344424744E0,-8.599617004E-1,4.121678598E0
1.253057208E0,-3.677552490E0,-4.098028107E0,-6.834786987E-1,5.548456525E0
1.263133208E0,-4.230053558E0,-6.107449493E0,4.954696655E-1,7.445789589E0
1.273208208E0,-5.448370056E0,-8.399034119E0,9.410929871E-1,1.005555401E1
1.283284208E0,-8.102800140E0,-1.132365234E1,5.727090454E-1,1.393586984E1
1.293359208E0,-1.242072098E1,-1.418854477E1,4.644841003E-1,1.886279030E1
1.303434208E0,-1.687366104E1,-1.688159454E1,3.135978699E-1,2.387063080E1
1.313510208E0,-2.028012726E1,-2.033835617E1,1.227447510E-2,2.872163721E1
1.323585208E0,-2.250001099E1,-2.479384094E1,4.644841003E-1,3.348433647E1
1.333661208E0,-2.272723846E1,-2.880220551E1,2.809956665E0,3.679660673E1
1.343736583E0,-2.132315826E1,-3.092748596E1,5.795647888E0,3.801020916E1
1.353812583E0,-1.926284271E1,-3.011871780E1,7.763306122E0,3.658501324E1
1.363887583E0,-1.818223984E1,-2.724873596E1,8.453820190E0,3.383126561E1
1.373962583E0,-1.719893463E1,-2.391471909E1,7.625442810E0,3.042802194E1
1.384038583E0,-1.591325821E1,-2.109039230E1,5.431455231E0,2.697289640E1
1.394113583E0,-1.433988007E1,-1.903741150E1,3.210224304E0,2.404913173E1
1.404189583E0,-1.245649658E1,-1.715702179E1,1.697470093E0,2.126991087E1
1.414264583E0,-1.104448288E1,-1.540775940E1,1.074016571E0,1.898771085E1
1.424340583E0,-1.001462448E1,-1.384994888E1,1.343156891E0,1.714403272E1
1.434415583E0,-9.369915161E0,-1.244257553E1,2.209405518E0,1.573195693E1
1.444490583E0,-8.458161163E0,-1.097368011E1,3.068918152E0,1.419085636E1
1.454566583E0,-7.088509369E0,-9.527238007E0,3.477119293E0,1.237358427E1
1.464641583E0,-5.640121307E0,-8.222401428E0,3.613036652E0,1.060532354E1
1.474717583E0,-4.465813293E0,-6.956034851E0,3.862867126E0,9.124234305E0
1.484792583E0,-3.814218292E0,-5.638325043E0,4.041595459E0,7.916657396E0
1.494868583E0,-3.436104584E0,-4.121080170E0,3.926335144E0,6.648776138E0
1.504943583E0,-2.993475037E0,-2.525697784E0,2.983595581E0,4.923604846E0
1.515018583E0,-2.811453552E0,-1.213227081E0,1.870360565E0,3.588096943E0
1.525094583E0,-2.621199188E0,-1.103205872E-1,1.147663422E0,2.863561968E0
1.535169583E0,-1.891616364E0,6.896159363E-1,2.161505127E-1,2.024970037E0
1.545245583E0,-1.084045715E0,1.055305481E0,-7.038363647E-1,1.668595337E0
1.555320583E0,-8.418493652E-1,1.008752289E0,-1.165326691E0,1.756211215E0
1.565396583E0,-6.809339905E-1,9.292675781E-1,-9.999206543E-1,1.525467353E0
1.575471583E0,-5.917195129E-1,9.403445435E-1,-6.981481934E-1,1.312170241E0
1.585547583E0,-5.896238708E-1,8.184979248E-1,-5.577401733E-1,1.152679167E0
1.595622583E0,-5.692662048E-1,4.715194702E-1,-5.346881104E-1,9.122970997E-1
1.605697583E0,-5.683680725E-1,4.969665527E-2,-4.881349182E-1,7.508579904E-1
1.615773583E0,-5.736071777E-1,-2.439926147E-1,-4.144880676E-1,7.485706036E-1
1.625848583E0,-6.592291260E-1,-5.146298218E-1,-4.574487305E-1,9.532503527E-1
1.635924583E0,-7.539820862E-1,-6.861730957E-1,-4.830455017E-1,1.128120322E0
1.645999583E0,-7.197033691E-1,-5.652246094E-1,-5.186714172E-1,1.051889651E0
