"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.648737500E-1,-8.159232788E0,6.003715210E0,-5.908213806E-1,1.014725312E1
6.749487500E-1,-8.027656403E0,6.230493622E0,-7.503895569E-1,1.018947509E1
6.850227500E-1,-8.078101501E0,6.201304321E0,-7.048841858E-1,1.020826924E1
6.950967500E-1,-7.886350250E0,6.010301514E0,-1.104553070E0,9.976887392E0
7.051717500E-1,-7.637717285E0,5.984854431E0,-1.057999878E0,9.760766959E0
7.152457500E-1,-7.502099304E0,5.897735596E0,-6.668632507E-1,9.566059049E0
7.253207500E-1,-7.192393341E0,5.596262512E0,-5.266049194E-1,9.128307007E0
7.353947500E-1,-6.709198151E0,5.513784027E0,-3.842509460E-1,8.692686749E0
7.454687500E-1,-6.568490753E0,5.605692902E0,-3.381468201E-1,8.641944628E0
7.555437500E-1,-8.563392334E0,6.670728149E0,8.339158630E-1,1.088695173E1
7.656177500E-1,-1.013662079E1,7.843539276E0,7.500901794E-1,1.283880153E1
7.756917500E-1,-1.042013123E1,7.525151367E0,-3.385958862E-1,1.285774805E1
7.857667500E-1,-1.050814819E1,7.344926147E0,-1.330433350E0,1.288949850E1
7.958407500E-1,-9.802665253E0,7.140301666E0,-1.827549591E0,1.226442381E1
8.059157500E-1,-9.458231506E0,6.963968353E0,-1.545685730E0,1.184669333E1
8.159897500E-1,-8.987909546E0,6.985673218E0,-1.460812225E0,1.147676438E1
8.260637500E-1,-9.047785034E0,7.178322601E0,-1.684596863E0,1.167170065E1
8.361387500E-1,-9.536369019E0,7.423662415E0,-1.217268677E0,1.214639209E1
8.462126250E-1,-9.263037415E0,7.233108673E0,-8.138575745E-1,1.178066583E1
8.562876250E-1,-9.087602234E0,6.642436981E0,-6.530918884E-1,1.127532760E1
8.663616250E-1,-9.357041931E0,6.528374176E0,-5.557942200E-1,1.142290726E1
8.764356250E-1,-8.303383026E0,6.741231537E0,-6.141728210E-1,1.071296320E1
8.865106250E-1,-8.452023926E0,6.305487671E0,-1.348994751E0,1.063088284E1
8.965846250E-1,-8.076604614E0,6.058201904E0,-1.525627441E0,1.021082227E1
9.066596250E-1,-6.848558350E0,5.890550537E0,-1.396446075E0,9.140645422E0
9.167336250E-1,-6.262227631E0,5.189109192E0,-9.397457886E-1,8.186908528E0
9.268076250E-1,-5.892197113E0,4.523443451E0,-2.745291138E-1,7.433363553E0
9.368826250E-1,-5.391937408E0,4.302802277E0,2.245330811E-3,6.898340488E0
9.469566250E-1,-5.033432922E0,4.592749329E0,-5.632786560E-1,6.837110225E0
9.570306250E-1,-4.981640625E0,4.946912842E0,-1.558858337E0,7.191573492E0
9.671056250E-1,-5.167254639E0,4.996459808E0,-2.036515045E0,7.470778048E0
9.771796250E-1,-5.308261414E0,4.984784088E0,-2.059118042E0,7.567408985E0
9.872546250E-1,-5.596711578E0,5.149591370E0,-1.964664459E0,7.855022483E0
9.973286250E-1,-5.704487457E0,5.262606354E0,-2.134860535E0,8.049461615E0
1.007402625E0,-5.890550537E0,5.245841217E0,-2.493365021E0,8.272502936E0
1.017477625E0,-5.974076843E0,5.130431213E0,-2.692001953E0,8.322126716E0
1.027551625E0,-6.065087585E0,4.916076965E0,-2.504891052E0,8.199242607E0
1.037626625E0,-6.002966766E0,4.608466644E0,-2.229763184E0,7.889576583E0
1.047700625E0,-5.814957733E0,4.368365936E0,-2.055824890E0,7.557960728E0
1.057774625E0,-5.870192871E0,4.548441467E0,-1.749711456E0,7.629480605E0
1.067849625E0,-5.733676758E0,4.810696106E0,-1.218466187E0,7.583040685E0
1.077923625E0,-5.544021149E0,4.905748444E0,-9.150471497E-1,7.459212396E0
1.087998625E0,-5.269641724E0,4.732708282E0,-6.988966370E-1,7.117310454E0
1.098072625E0,-4.630470886E0,4.583917694E0,-5.821394348E-1,6.541593718E0
1.108146625E0,-3.930825806E0,4.378694458E0,-5.752537537E-1,5.912298500E0
1.118221625E0,-3.730841675E0,3.907773743E0,-4.875361633E-1,5.424718125E0
1.128295625E0,-3.392545166E0,3.400927734E0,-3.412902832E-2,4.803835650E0
1.138370625E0,-2.824027405E0,2.915936279E0,4.230203247E-1,4.081269577E0
1.148444625E0,-2.556982727E0,2.393223267E0,5.057981873E-1,3.538574583E0
1.158518625E0,-2.150727539E0,1.831291809E0,5.469625854E-1,2.877225522E0
1.168593625E0,-1.668879547E0,1.231189728E0,7.334747314E-1,2.199766413E0
1.178667625E0,-9.722282410E-1,7.851173401E-1,7.849676514E-1,1.475740900E0
1.188741625E0,1.742376709E-1,1.082249451E-1,7.310797119E-1,7.593082048E-1
1.198816625E0,5.572911072E-1,-8.988807678E-1,9.511221313E-1,1.422390003E0
1.208890625E0,-1.155596924E-1,-7.129673767E-1,5.270539856E-1,8.941266278E-1
1.218965625E0,-2.285597076E0,-5.246589661E-1,7.797285461E-1,2.471274495E0
1.229039625E0,-4.064348145E0,-3.924838257E-1,1.807640991E0,4.465482655E0
1.239113625E0,-5.154680786E0,-7.197033691E-1,2.279908905E0,5.682137939E0
1.249188625E0,-6.174060974E0,-1.799108734E0,2.635419617E0,6.949910626E0
1.259262625E0,-6.895111542E0,-2.928360443E0,2.925815735E0,8.042279265E0
1.269337625E0,-7.724985809E0,-3.404071198E0,3.285667419E0,9.058626654E0
1.279411625E0,-8.727750549E0,-2.926564178E0,3.718866577E0,9.928160764E0
1.289485625E0,-9.452693024E0,-1.643582153E0,3.291654968E0,1.014345898E1
1.299560625E0,-1.060529617E1,-1.098116455E0,2.265838165E0,1.090010042E1
1.309634625E0,-1.225890747E1,-1.650767212E0,1.779349823E0,1.249687683E1
1.319709625E0,-1.283131714E1,-3.670367432E0,2.928061066E0,1.366337580E1
